Category,Account Code,Account Name,2025,2026
"Interest, Rents & Leases",36106,Claims Interest,7480,8438
"Interest, Rents & Leases",36110,Investment Interest Revenue,2519800,1801000
"Interest, Rents & Leases",36120,Spec Assess Interest Rev,16000,30059
"Interest, Rents & Leases",36130,Interest Revenue GASB,87,0
"Interest, Rents & Leases",36310,Building Rental,36,62
"Interest, Rents & Leases",36315,Airport Electricity,13500,13584
"Interest, Rents & Leases",36316,Electricity/One-Time Fee,0,0
"Interest, Rents & Leases",36320,Land Lease,335681,373709
"Interest, Rents & Leases",36321,Lease Revenue GASB,8,7
"Interest, Rents & Leases",36322,Lease Revenue Offset GASB,87,0
"Interest, Rents & Leases",36330,PS - Cart Storage,26000,29600
"Interest, Rents & Leases",36331,FV - Cart Storage Rental,2800,3000
"Interest, Rents & Leases",36335,PS - Cart Rental,312300,312300
"Interest, Rents & Leases",36336,FV - Cart Rental,97000,97000
"Interest, Rents & Leases",36340,Train Depot Rental,22000,15000
"Interest, Rents & Leases",36998,Gain/Loss on Capital Assets,0,0
"Interest, Rents & Leases",36999,Unrealized Gain or Loss,0,0
Donations & Special Events,37521,Van Slyke Museum Donations,6000,6000
Donations & Special Events,37542,Caldwell Youth Forum Rev,20,0
Donations & Special Events,37543,K9 Community Donations,0,0
Donations & Special Events,37558,Friends of the Depot,0,0
Donations & Special Events,37560,Smoke Detector Program,10,0
Donations & Special Events,37600,Gifts/Donations,35000,105000
Donations & Special Events,37610,Endowments,5000,5000
Donations & Special Events,37620,4th of July Celebration/Revenue,65000,65000
Donations & Special Events,37670,Recreation Secret Pals,50,0
Transfers & Other Sources,38100,Contributed Capital,0,0
Transfers & Other Sources,39100,Interfund Oper Transfer In,1456897,3930952
Transfers & Other Sources,39125,Other Grants,10,0
Transfers & Other Sources,39200,Sale of Fixed Asset,26,0
Transfers & Other Sources,39250,Proceeds From Insurance,0,0
Transfers & Other Sources,39340,Bond Proceeds,0,0
Transfers & Other Sources,39360,Loan/Lease Proceeds,0,0
